word,label
Algorithm,0
Processor,0
Quantum,0
Satellite,0
Encryption,0
Robotics,0
Nanotechnology,0
Supernova,0
Laboratory,0
Database,0
Genetics,0
Telescope,0
Software,0
Hardware,0
Molecule,0
Electron,0
Evolution,0
Cybersecurity,0
Atmosphere,0
Circuit,0
Microscope,0
Physics,0
Chemistry,0
Silicon,0
Asteroid,0
Internet,0
Network,0
Programming,0
Simulation,0
Innovation,0
Automaton,0
Biotechnology,0
Calculation,0
Discovery,0
Engine,0
Fiber-optics,0
Galaxy,0
Hologram,0
Interface,0
Jet-propulsion,0
Kinetic,0
Laser,0
Machine-learning,0
Neutron,0
Optics,0
Particle,0
Radar,0
Sensor,0
Theory,0
Uranium,0
Vaccine,0
Wireless,0
X-ray,0
Yield,0
Zettabyte,0
Artificial-intelligence,0
Blockchain,0
Cloud,0
Data-mining,0
Electricity,0
Fission,0
Gravity,0
Hydrogen,0
Infrared,0
Joule,0
Kelvin,0
Lithium,0
Magnetism,0
Nuclear,0
Oxygen,0
Photon,0
Quasar,0
Radiation,0
Spectroscopy,0
Transistor,0
Ultrasound,0
Velocity,0
Wavelength,0
Xenon,0
Yottabyte,0
Zero-day,0
Aerodynamics,0
Bioinformatics,0
Cryogenics,0
Distillation,0
Entropy,0
Fermentation,0
Geology,0
Hydraulics,0
Isotope,0
Jupiter,0
Krypton,0
Logarithm,0
Metallurgy,0
Neuroscience,0
Osmosis,0
Paleontology,0
Quantum-mechanics,0
Refraction,0
Seismology,0
Thermodynamics,0
Ultraviolet,0
Viscosity,0
Weathering,0
Zinc,0
Acoustics,0
Botany,0
Cartography,0
Dendrochronology,0
Ecology,0
Forensics,0
Geophysics,0
Horticulture,0
Ichthyology,0
Jurisprudence,0
Kinesiology,0
Limnology,0
Meteorology,0
Numismatics,0
Oceanography,0
Pharmacology,0
Quantum-physics,0
Radiology,0
Taxonomy,0
Urology,0
Virology,0
Zoology,0
Astronomy,0
Biochemistry,0
Climatology,0
Dermatology,0
Endocrinology,0
Fluid-dynamics,0
Gastroenterology,0
Hematology,0
Immunology,0
Logic,0
Morphology,0
Neurology,0
Oncology,0
Pathology,0
Radiocarbon,0
Stratigraphy,0
Toxicology,0
Ufology,0
Vulcanology,0
Web-development,0
Xenobiology,0
Yttrium,0
Zirconium,0
Acid,0
Base,0
Catalyst,0
DNA,0
Energy,0
Frequency,0
Genome,0
Helix,0
Inertia,0
Junction,0
Kilobyte,0
Liquid,0
Mass,0
Nucleus,0
Orbit,0
Proton,0
Quark,0
Resistance,0
Solid,0
Time,0
Universe,0
Vacuum,0
Watt,0
Xenon,0
Yoke,0
Zygote,0
Amplitude,0
Bionics,0
Cell,0
Diffusion,0
Erosion,0
Friction,0
Glacier,0
Heat,0
Ion,0
Joystick,0
Keyboard,0
Lens,0
Momentum,0
Nebula,0
Nova,0
Ozone,0
Pulse,0
React,0
Static,0
Valve,0
Volt,0
Wave,0
X-axis,0
Year,0
Zoom,0
Revolution,1
Empire,1
Democracy,1
Colonialism,1
Monarchy,1
Civilization,1
Archaeology,1
Dictatorship,1
Constitution,1
Feudalism,1
Suffrage,1
Treaty,1
Diplomacy,1
Heritage,1
Sovereignty,1
Legislation,1
Industrialization,1
Renaissance,1
Hierarchy,1
Conflict,1
Migration,1
Dynasty,1
Republic,1
Tyranny,1
Enlightenment,1
Antiquity,1
Bastion,1
Coalition,1
Decolonization,1
Electorate,1
Faction,1
Guild,1
Homestead,1
Inquisition,1
Jurisdiction,1
Knight,1
Liberalism,1
Manifesto,1
Nationalism,1
Oligarchy,1
Parliament,1
Quorum,1
Reformation,1
Socialism,1
Theocracy,1
Utopia,1
Vassal,1
Whig,1
Xenophobia,1
Yeoman,1
Zionism,1
Ancestry,1
Baron,1
Capitalism,1
Doctrine,1
Expansion,1
Federation,1
Gentry,1
Heresy,1
Imperialism,1
Justice,1
Kinship,1
Lineage,1
Magna-Carta,1
Nobility,1
Oppression,1
Peasant,1
Quota,1
Radicalism,1
Secularism,1
Totalitarianism,1
Unification,1
Verdict,1
Welfare,1
Zealot,1
Abolition,1
Bureaucracy,1
Conservatism,1
Despotism,1
Egalitarianism,1
Frontier,1
Guerilla,1
Hegemony,1
Ideology,1
Jingoism,1
Kingdom,1
Liberty,1
Modernity,1
Nomad,1
Orthodoxy,1
Patriotism,1
Quebec,1
Resistance,1
Sanction,1
Treason,1
Underground,1
Veto,1
Warfare,1
X-axis,1
Yalta,1
Ziggurat,1
Aristocracy,1
Bicameral,1
Communalism,1
Delegate,1
Enfranchisement,1
Federalism,1
Governance,1
Homeland,1
Individualism,1
Judiciary,1
Kaliphate,1
Loyalist,1
Marxism,1
Nonviolence,1
Ordinance,1
Pacifism,1
Ratification,1
Stewardship,1
Territory,1
Usurpation,1
Vigilante,1
World-War,1
Xerox,1
Yesterday,1
Zarathustra,1
Allies,1
Bourgeoisie,1
Caste,1
Dictator,1
Estate,1
Fascism,1
Governor,1
History,1
Insurrection,1
Jurisprudence,1
Khanate,1
League,1
Mandate,1
Narrative,1
Order,1
Policy,1
Quest,1
Reform,1
Settlement,1
Tradition,1
Union,1
Valley,1
West,1
X-generation,1
Youth,1
Zeal,1
Authority,1
Banner,1
Citizenship,1
Duty,1
Election,1
Freedom,1
General,1
Honour,1
Identity,1
Jury,1
King,1
Law,1
Mayor,1
Nation,1
Officer,1
Politics,1
Queen,1
Rights,1
State,1
Town,1
Unity,1
Village,1
War,1
Xenon,1
Year,1
Zone,1
Act,1
Bill,1
HistoryTerm_180,1
HistoryTerm_181,1
HistoryTerm_182,1
HistoryTerm_183,1
HistoryTerm_184,1
HistoryTerm_185,1
HistoryTerm_186,1
HistoryTerm_187,1
HistoryTerm_188,1
HistoryTerm_189,1
HistoryTerm_190,1
HistoryTerm_191,1
HistoryTerm_192,1
HistoryTerm_193,1
HistoryTerm_194,1
HistoryTerm_195,1
HistoryTerm_196,1
HistoryTerm_197,1
HistoryTerm_198,1
HistoryTerm_199,1
Photosynthesis,2
Ecosystem,2
Chlorophyll,2
Biodiversity,2
Mammal,2
Habitat,2
Pollination,2
Predator,2
Species,2
Reptile,2
Amphibian,2
Deciduous,2
Evergreen,2
Herbivore,2
Carnivore,2
Omnivore,2
Symbiosis,2
Organism,2
Bacteria,2
Fungus,2
Invertebrate,2
Vertebrate,2
Plankton,2
Crustacean,2
Coral,2
Jellyfish,2
Anemone,2
Sequoia,2
Mangrove,2
Wetland,2
Prairie,2
Tundra,2
Savannah,2
Rainforest,2
Desert,2
Glacier,2
Canyon,2
Plateau,2
Island,2
Archipelago,2
Volcano,2
Mountain,2
River,2
Lake,2
Ocean,2
Estuary,2
Lagoon,2
Reef,2
Current,2
Tide,2
Atmosphere,2
Biosphere,2
Geosphere,2
Hydrosphere,2
Climate,2
Weather,2
Storm,2
Hurricane,2
Tornado,2
Blizzard,2
Drought,2
Flood,2
Earthquake,2
Erosion,2
Sediment,2
Fossil,2
Mineral,2
Crystal,2
Gemstone,2
Quartz,2
Granite,2
Basalt,2
Limestone,2
Sandstone,2
Marble,2
Obsidian,2
Magma,2
Lava,2
Ash,2
Vent,2
Foliage,2
Blossom,2
Nectar,2
Pollen,2
Spore,2
Seed,2
Fruit,2
Vegetable,2
Nut,2
Grain,2
Root,2
Stem,2
Leaf,2
Branch,2
Trunk,2
Bark,2
Twig,2
Bush,2
Shrub,2
Vine,2
Grass,2
Moss,2
Algae,2
Fern,2
Conifer,2
Pine,2
Oak,2
Maple,2
Birch,2
Willow,2
Animal,2
Bird,2
Fish,2
Insect,2
Spider,2
Butterfly,2
Bee,2
Ant,2
Beetle,2
Moth,2
Eagle,2
Hawk,2
Owl,2
Penguin,2
Ostrich,2
Hummingbird,2
Parrot,2
Swan,2
Duck,2
Goose,2
Whale,2
Dolphin,2
Shark,2
Salmon,2
Trout,2
Turtle,2
Snake,2
Lizard,2
Frog,2
Toad,2
Lion,2
Tiger,2
Bear,2
Wolf,2
Fox,2
Elephant,2
Giraffe,2
Zebra,2
Monkey,2
Ape,2
Horse,2
Cow,2
Sheep,2
Goat,2
Pig,2
Dog,2
Cat,2
Rabbit,2
Mouse,2
Rat,2
Deer,2
Moose,2
Elk,2
Bison,2
Otter,2
Beaver,2
Seal,2
Walrus,2
Bat,2
Squirrel,2
Rhino,2
Hippo,2
Camel,2
Llama,2
Kangaroo,2
Koala,2
Panda,2
Sloth,2
Armadillo,2
Platypus,2
Cobra,2
Python,2
Viper,2
Gecko,2
Iguana,2
Chameleon,2
Newt,2
Salamander,2
Snail,2
Slug,2
Crab,2
Lobster,2
Shrimp,2
Clam,2
Oyster,2
Squid,2
Octopus,2
Starfish,2
Urchin,2
Worm,2
Masterpiece,3
Symphony,3
Architecture,3
Literature,3
Sculpture,3
Painting,3
Cinema,3
Theater,3
Poetry,3
Folklore,3
Aesthetics,3
Baroque,3
Canvas,3
Drama,3
Exhibition,3
Fresco,3
Genre,3
Harmony,3
Impressionism,3
Jazz,3
Kitsch,3
Landscape,3
Modernism,3
Narrative,3
Opera,3
Palette,3
Quartet,3
Rhythm,3
Surrealism,3
Tragedy,3
Upbeat,3
Virtuoso,3
Watercolor,3
Xylophone,3
Yodeling,3
Zeitgeist,3
Abstract,3
Ballet,3
Chorus,3
Design,3
Etching,3
Fiction,3
Gallery,3
Heritage,3
Icon,3
Jewelry,3
Kiln,3
Lyric,3
Mosaic,3
Novel,3
Orchestra,3
Performance,3
Quill,3
Renaissance,3
Sketch,3
Tapestry,3
Ukiyo-e,3
Verse,3
Waltz,3
Xylography,3
Yarn,3
Zine,3
Artisan,3
Bronze,3
Calligraphy,3
Dance,3
Ensemble,3
Fashion,3
Graphic,3
Hue,3
Improvisation,3
Journal,3
Kyogen,3
Lute,3
Mural,3
Nuance,3
Overture,3
Pottery,3
Quintet,3
Realism,3
Stanza,3
Texture,3
Understatement,3
Vaudeville,3
Weaving,3
Xerography,3
Yoga,3
Zither,3
Actor,3
Ballad,3
Comedy,3
Director,3
Epic,3
Festival,3
Gospel,3
History,3
Instrument,3
Juggling,3
Kabuki,3
Legend,3
Museum,3
Notation,3
Obelisk,3
Photography,3
Quatrain,3
Recital,3
Stage,3
Theme,3
Utopia,3
Violin,3
Writer,3
X-ray,3
Yearbook,3
Zephyr,3
Aria,3
Bust,3
Cast,3
Draft,3
Easel,3
Flute,3
Guitar,3
Harp,3
Ink,3
Joke,3
Keyboard,3
Library,3
Mask,3
Noire,3
Oil,3
Piano,3
Quip,3
Rhyme,3
Script,3
Tone,3
Ukulele,3
Voice,3
Woodcut,3
Xenon,3
Yoga,3
Zen,3
Accent,3
Beat,3
Color,3
Dot,3
Edge,3
Form,3
Glow,3
High,3
Idea,3
Just,3
Key,3
Line,3
Mode,3
Note,3
Open,3
Plot,3
Quiet,3
Rest,3
Style,3
Time,3
Unit,3
Vibe,3
Word,3
X-ray,3
Young,3
Zest,3
Animate,3
Bold,3
Carve,3
Draw,3
Edit,3
Film,3
Gaze,3
Hum,3
Image,3
Join,3
Keep,3
Look,3
Move,3
Name,3
On,3
Play,3
Quote,3
Read,3
Sing,3
Tell,3
Use,3
View,3
Write,3
Xerox,3
Yawn,3
Zoom,3
Awe,3
Blue,3
Cool,3
Deep,3
Ever,3
Fair,3
Great,3
Hope,3
Kitchen,4
Workplace,4
Commute,4
Grocery,4
Breakfast,4
Exercise,4
Laundry,4
Gardening,4
Socializing,4
Budget,4
Alarm,4
Bedtime,4
Coffee,4
Dinner,4
Email,4
Furniture,4
Garage,4
Hobbies,4
Insurance,4
Journaling,4
Keyboard,4
Lunch,4
Maintenance,4
Neighborhood,4
Outing,4
Parking,4
Queue,4
Recycling,4
Shopping,4
Traffic,4
Utilities,4
Vacation,4
Wardrobe,4
Xmas,4
Yard,4
Zipping,4
Appliance,4
Beverage,4
Cleaning,4
Decor,4
Errand,4
Family,4
Greeting,4
Household,4
Inventory,4
Job,4
Kitchenware,4
Leisure,4
Meeting,4
Nap,4
Office,4
Pet,4
Quality,4
Routine,4
Safety,4
Task,4
Upholstery,4
Vehicle,4
Wallet,4
Xerox,4
Yesterday,4
Zero,4
Activity,4
Basement,4
Calendar,4
Dishes,4
Entertainment,4
Finances,4
Grocery,4
Health,4
Interaction,4
Journey,4
Key,4
Living-room,4
Market,4
Notebook,4
Organization,4
Project,4
Quiet,4
Rest,4
Schedule,4
Transit,4
User,4
Visit,4
Weather,4
X-factor,4
Yield,4
Zone,4
Apartment,4
Bathroom,4
Cell-phone,4
Desk,4
Energy,4
Food,4
Gift,4
Home,4
Internet,4
Jewelry,4
Keycard,4
Laptop,4
Mirror,4
News,4
Order,4
Phone,4
Receipt,4
Stairs,4
Table,4
Uniform,4
Video,4
Water,4
X-axis,4
Yellow,4
Zip-code,4
Address,4
Bag,4
Chair,4
Door,4
Envelope,4
Floor,4
Gate,4
Hat,4
Ink,4
Jar,4
Knife,4
Lamp,4
Mat,4
Net,4
Oven,4
Pen,4
Quilt,4
Rug,4
Sofa,4
Towel,4
Umbrella,4
Vase,4
Wall,4
Xylophone,4
Yardstick,4
Zipper,4
Area,4
Box,4
Cup,4
Dish,4
Egg,4
Fan,4
Glass,4
Hook,4
Iron,4
Jug,4
Kettle,4
Lid,4
Mug,4
Nut,4
Oil,4
Pan,4
Quart,4
Rice,4
Salt,4
Tea,4
Urn,4
Vinegar,4
Wok,4
X-ray,4
Yam,4
Zest,4
Apple,4
Bread,4
Cheese,4
Date,4
Egg,4
Fruit,4
Grape,4
Honey,4
Ice,4
Juice,4
Kiwi,4
Lemon,4
Milk,4
Nuts,4
Onion,4
Pasta,4
Quince,4
Radish,4
Sugar,4
Toast,4
Udon,4
Vanilla,4
Wheat,4
Xerox,4
Yogurt,4
Zucchini,4
Bath,4
Comb,4
Deodorant,4
Eyeglasses,4
Floss,4
Gel,4
Hairbrush,4
Inhaler,4
Jack,4
